sepal_length,sepal_width,petal_length,petal_width,species,origin,measurement_quality
6.14,3.24,3.96,0.96,Versicolor,Garden,High
6.58,2.89,4.39,1.33,Versicolor,Garden,Low
6.23,3.15,3.78,1.3,Versicolor,Greenhouse,Medium
6.61,3.11,4.39,1.28,Versicolor,Wild,Low
5.74,2.5,4.22,1.49,Versicolor,Greenhouse,High
6.0,3.53,4.41,1.58,Versicolor,Garden,Medium
6.22,3.38,3.99,1.44,Versicolor,Greenhouse,Medium
4.97,2.63,3.66,1.27,Versicolor,Greenhouse,High
6.5,1.73,4.19,1.53,Versicolor,Wild,Medium
5.16,2.69,3.99,1.0,Versicolor,Greenhouse,High
6.3,2.87,3.77,1.16,Versicolor,Wild,High
6.17,2.63,4.53,1.18,Versicolor,Wild,High
4.96,2.73,4.78,1.29,Versicolor,Greenhouse,Medium
4.98,2.55,4.06,1.4,Versicolor,Wild,High
6.47,3.08,4.28,1.26,Versicolor,Garden,Medium
6.39,2.82,4.21,1.12,Versicolor,Greenhouse,High
5.55,3.09,4.1,1.49,Versicolor,Garden,High
5.55,3.17,4.5,1.25,Versicolor,Wild,Medium
6.11,2.15,4.6,1.32,Versicolor,Wild,Medium
5.89,2.57,4.04,1.41,Versicolor,Greenhouse,Low
6.32,2.61,4.31,1.31,Versicolor,Wild,Low
6.09,3.57,4.69,1.31,Versicolor,Garden,High
6.53,2.84,4.51,1.51,Versicolor,Garden,Medium
6.29,3.04,4.55,1.33,Versicolor,Garden,Low
6.19,2.24,4.71,1.47,Versicolor,Wild,Low
5.76,2.84,4.71,1.41,Versicolor,Garden,High
5.73,3.09,4.61,1.7,Versicolor,Garden,Medium
5.88,3.06,4.34,1.38,Versicolor,Greenhouse,Medium
6.64,2.99,4.19,1.43,Versicolor,Wild,High
5.74,2.8,4.33,1.52,Versicolor,Wild,Medium
6.0,2.82,4.14,1.31,Versicolor,Garden,Medium
5.0,2.29,3.71,1.17,Versicolor,Garden,High
6.17,2.53,4.22,1.21,Versicolor,Garden,High
6.8,2.87,4.41,1.21,Versicolor,Wild,High
5.53,2.59,4.12,1.11,Versicolor,Garden,Medium
7.17,3.01,4.24,1.36,Versicolor,Wild,Low
5.97,2.94,4.25,1.17,Versicolor,Wild,Medium
4.87,3.21,4.71,1.34,Versicolor,Greenhouse,Medium
5.75,3.09,4.19,1.27,Versicolor,Wild,Medium
6.21,3.27,5.59,2.08,Virginica,Greenhouse,Low
6.79,3.1,6.05,2.1,Virginica,Greenhouse,Low
7.2,3.3,5.55,1.8,Virginica,Greenhouse,Low
6.96,2.13,5.33,2.3,Virginica,Greenhouse,Medium
6.53,3.63,5.55,1.95,Virginica,Garden,High
6.18,2.96,5.72,1.77,Virginica,Wild,Medium
6.85,3.33,5.52,2.16,Virginica,Wild,Medium
6.7,2.69,5.52,1.73,Virginica,Greenhouse,High
6.95,3.18,5.22,2.01,Virginica,Greenhouse,High
6.82,2.68,5.23,2.0,Virginica,Garden,Medium
7.02,2.81,4.94,2.33,Virginica,Greenhouse,Medium
6.23,3.57,6.2,2.14,Virginica,Greenhouse,High
7.16,2.94,5.0,1.99,Virginica,Wild,Medium
6.6,3.07,5.22,2.25,Virginica,Garden,High
7.54,3.26,5.21,2.42,Virginica,Garden,Medium
6.16,3.15,5.86,2.17,Virginica,Greenhouse,Medium
7.37,3.05,5.38,2.0,Virginica,Greenhouse,Medium
6.6,3.11,6.0,1.61,Virginica,Wild,High
6.17,3.72,5.23,1.68,Virginica,Greenhouse,Medium
6.26,2.98,5.61,1.91,Virginica,Wild,High
6.34,3.06,5.17,1.82,Virginica,Garden,Low
6.71,3.32,6.36,1.94,Virginica,Wild,Low
6.76,3.33,5.02,2.02,Virginica,Wild,Low
6.21,3.36,5.62,2.16,Virginica,Garden,Medium
6.49,3.19,5.75,1.98,Virginica,Greenhouse,High
7.57,2.66,5.67,2.15,Virginica,Garden,Low
7.36,3.49,5.43,2.02,Virginica,Wild,Medium
6.72,2.66,5.45,1.41,Virginica,Garden,Medium
6.52,3.09,5.52,1.72,Virginica,Wild,Medium
6.56,2.77,5.44,1.96,Virginica,Garden,Low
6.81,2.98,5.89,1.64,Virginica,Wild,High
5.99,3.1,6.38,2.18,Virginica,Garden,Low
6.37,3.1,5.28,2.46,Virginica,Wild,Medium
5.67,3.13,4.95,2.37,Virginica,Greenhouse,Low
6.7,3.48,5.46,1.94,Virginica,Garden,High
6.82,3.14,6.53,2.45,Virginica,Greenhouse,Medium
6.26,2.93,5.18,2.04,Virginica,Garden,High
7.29,3.29,6.16,1.9,Virginica,Wild,High
5.89,3.36,6.17,1.82,Virginica,Wild,Medium
5.77,2.63,5.28,1.91,Virginica,Wild,Low
6.61,3.18,5.73,1.88,Virginica,Greenhouse,Low
7.02,3.21,6.15,2.05,Virginica,Wild,Medium
7.34,2.91,5.35,2.05,Virginica,Greenhouse,High
6.27,3.41,5.42,2.0,Virginica,Wild,High
7.04,2.95,5.27,2.13,Virginica,Garden,Medium
6.48,3.04,5.09,2.36,Virginica,Wild,High
6.41,2.95,5.24,2.28,Virginica,Garden,Low
6.94,3.0,5.01,1.55,Virginica,Greenhouse,Medium
6.83,2.67,5.51,1.23,Virginica,Greenhouse,Low
5.71,2.57,5.19,2.28,Virginica,Greenhouse,Low
7.24,3.48,5.59,1.59,Virginica,Garden,Medium
7.19,2.75,4.88,1.93,Virginica,Greenhouse,High
6.19,2.7,5.63,1.65,Virginica,Garden,High
6.7,2.35,5.83,1.46,Virginica,Greenhouse,Low
6.75,2.81,4.7,2.16,Virginica,Wild,Low
6.63,2.6,5.65,2.23,Virginica,Greenhouse,High
6.22,3.49,5.99,1.83,Virginica,Wild,Low
6.16,3.3,5.02,1.22,Virginica,Greenhouse,High
6.49,2.79,6.17,1.84,Virginica,Garden,Low
7.09,3.68,5.67,2.12,Virginica,Wild,Medium
6.77,3.29,5.22,1.56,Virginica,Garden,High
6.31,2.9,5.48,2.06,Virginica,Greenhouse,High
6.89,2.25,5.72,2.0,Virginica,Greenhouse,Medium
5.08,3.69,5.53,2.17,Virginica,Wild,Low
7.07,2.58,5.72,2.04,Virginica,Garden,Medium
5.63,2.51,5.13,1.71,Virginica,Garden,Medium
6.32,3.31,5.57,2.36,Virginica,Greenhouse,Low
5.94,3.73,4.93,1.95,Virginica,Greenhouse,Medium
5.85,3.42,5.46,1.99,Virginica,Garden,High
7.08,3.17,5.14,1.72,Virginica,Garden,Medium
6.27,3.18,5.21,1.87,Virginica,Wild,Medium
6.67,3.26,5.99,1.73,Virginica,Wild,Medium
6.48,3.23,5.94,1.95,Virginica,Garden,Medium
6.74,3.08,5.74,2.51,Virginica,Wild,High
6.54,3.03,5.06,1.59,Virginica,Wild,High
5.86,2.98,5.37,1.52,Virginica,Garden,Low
7.0,2.77,5.99,2.44,Virginica,Greenhouse,Low
6.25,2.92,5.56,1.94,Virginica,Greenhouse,Medium
5.72,2.49,6.43,1.8,Virginica,Greenhouse,High
6.29,2.97,5.66,2.31,Virginica,Wild,Low
7.25,2.7,5.58,1.82,Virginica,Garden,Medium
6.93,2.67,5.38,2.55,Virginica,Wild,Low
6.33,3.05,5.55,2.2,Virginica,Wild,High
6.33,3.42,5.44,1.85,Virginica,Wild,High
6.34,3.28,5.78,2.65,Virginica,Wild,Low
7.54,2.53,5.88,1.82,Virginica,Garden,Medium
6.69,2.7,5.19,2.22,Virginica,Wild,Medium
6.72,3.28,4.97,2.09,Virginica,Garden,High
7.02,2.71,4.77,2.39,Virginica,Garden,Low
6.62,2.93,5.7,2.47,Virginica,Greenhouse,High
6.37,3.17,5.06,2.01,Virginica,Wild,Low
6.4,2.71,4.64,1.77,Virginica,Garden,Medium
6.46,3.03,5.66,2.14,Virginica,Greenhouse,Medium
6.48,2.6,6.5,1.8,Virginica,Wild,Medium
6.86,2.82,5.5,2.6,Virginica,Wild,Low
6.53,3.1,5.84,2.04,Virginica,Greenhouse,Low
6.87,2.52,5.53,1.89,Virginica,Garden,Low
6.46,3.13,5.46,2.06,Virginica,Wild,Low
6.54,2.99,5.87,1.6,Virginica,Wild,High
5.5,3.17,5.38,1.71,Virginica,Wild,Medium
